StartSession,15:35:04.2123520
(606, 274),15:35:45.0679552
(607, 274),15:35:52.1133440
(608, 274),15:35:53.3533824
(609, 274),15:35:53.5412736
(610, 274),15:35:53.7042944
(611, 274),15:35:53.8853120
(612, 274),15:35:54.0662272
(613, 274),15:35:54.2503040
(614, 274),15:35:54.7394304
(615, 274),15:35:55.3673600
(616, 274),15:35:55.5193600
(617, 274),15:35:56.2593024
(618, 274),15:35:56.5483264
(619, 274),15:35:56.9613952
(620, 274),15:35:57.1814528
(621, 274),15:35:57.3823744
(622, 274),15:35:57.5584128
(623, 274),15:36:06.4297728
(624, 274),15:36:06.6477568
(625, 274),15:36:18.4353152
(626, 274),15:36:19.1282944
(627, 274),15:36:22.2154880
(628, 274),15:36:22.8525184
(629, 274),15:36:23.0175616
(630, 274),15:36:23.1885696
(631, 274),15:36:28.0456576
(632, 274),15:36:28.1937024
(633, 274),15:36:28.4167296
(634, 274),15:36:32.6458368
(635, 274),15:36:32.8127616
(636, 274),15:36:33.4458496
(637, 274),15:36:33.6068736
(638, 274),15:36:37.6029952
(639, 274),15:36:37.7689984
(640, 274),15:36:38.1811328
(641, 274),15:36:38.3381248
(642, 274),15:36:38.4941184
(643, 274),15:36:51.0175360
(644, 274),15:36:51.2235520
(645, 274),15:36:51.4195200
(646, 274),15:36:51.6186368
(647, 274),15:36:51.7756416
(648, 274),15:36:51.9366400
(649, 274),15:36:52.1066240
(650, 274),15:36:56.3203072
(651, 274),15:36:56.5158272
(652, 274),15:36:56.7238784
(653, 274),15:36:56.9008256
(654, 274),15:36:57.0478080
(655, 274),15:36:57.2049408
(656, 274),15:36:57.3729152
(657, 274),15:37:01.8030720
(658, 274),15:37:01.9849984
(659, 274),15:37:02.1990272
(660, 274),15:37:02.4479744
(661, 274),15:37:02.6751232
(662, 274),15:37:07.3292032
(663, 274),15:37:07.5321728
(664, 274),15:37:07.7233152
(665, 274),15:37:07.9193088
(666, 274),15:37:08.0812416
(667, 274),15:37:08.2373504
(668, 274),15:37:11.8834176
(669, 274),15:37:12.2623744
(670, 274),15:37:12.4314240
(671, 274),15:37:12.5783552
(672, 274),15:37:12.7305344
(673, 274),15:37:18.3777664
(674, 274),15:37:18.5616768
(675, 274),15:37:18.7787136
(676, 274),15:37:22.7338624
(677, 274),15:37:22.8798592
(678, 274),15:37:23.0598912
(679, 274),15:37:38.8954240
(679, 275),15:37:39.5285760
(679, 276),15:37:39.7265792
