StartSession,14:09:12.3634432
respDelay1.1,14:09:12.3642624
respSize5,14:09:12.3644032
activeany,14:09:21.2234240
stimON,14:09:21.4345472
respOPEN,14:09:22.4252160
dotsMOVE,14:09:22.8209792
respCLOSED,14:09:27.4124800
stimOFF,14:09:28.5523584
stimON,14:09:30.8471168
respOPEN,14:09:31.9556096
dotsMOVE,14:09:33.0020608
respCLOSED,14:09:36.9607552
stimOFF,14:09:38.4183680
stimON,14:09:41.2261504
respOPEN,14:09:42.3353472
dotsMOVE,14:09:43.3846784
respCLOSED,14:09:47.3292544
stimOFF,14:09:48.8343040
stimON,14:09:51.3486336
respOPEN,14:09:52.4522112
dotsMOVE,14:09:53.3845376
respCLOSED,14:09:57.4477952
stimOFF,14:09:58.7503360
passive,14:10:01.5589632
stimON,14:10:01.8237824
dotsMOVE,14:10:03.6332032
l100,14:10:06.3945216
stimOFF,14:10:12.0660864
stimON,14:10:15.0040320
dotsMOVE,14:10:17.0989056
l100,14:10:19.2535168
stimOFF,14:10:25.6314240
stimON,14:10:28.4459264
dotsMOVE,14:10:30.5644544
r100,14:10:32.8187904
stimOFF,14:10:39.2640256
stimON,14:10:41.5494912
dotsMOVE,14:10:43.6470144
r100,14:10:45.8314624
stimOFF,14:10:52.3296768
