StartSession,15:46:03.9833856
(2, 3),15:46:27.7365376
(3, 3),15:46:27.8966400
(4, 3),15:46:28.0564992
(5, 3),15:46:28.2004736
(6, 3),15:46:28.3604608
(7, 3),15:46:28.4885376
(8, 3),15:46:28.6167296
(9, 3),15:46:28.7445760
(10, 3),15:46:28.8886144
(11, 3),15:46:29.0167040
(12, 3),15:46:29.1446272
(13, 3),15:46:29.2725248
(14, 3),15:46:43.0173696
(15, 3),15:46:48.0732928
