StartSession,15:41:37.6356352
(2, 1),15:41:50.2701312
(2, 2),15:41:54.3024512
(3, 2),15:42:00.6387584
(3, 3),15:42:07.6630272
(3, 4),15:42:12.6711808
(4, 4),15:42:33.8082304
