StartSession,15:39:09.0063488
respDelay2,15:39:09.0065792
respSize5,15:39:09.0067456
activev2,15:39:12.5513472
stimON,15:39:13.0621952
dotsMOVE,15:39:14.0515200
respOPEN,15:39:15.0715904
respCLOSED,15:39:17.2877440
l100,15:39:17.2937728
stimOFF,15:39:17.2939264
stimON,15:39:20.0563328
dotsMOVE,15:39:21.0682880
respOPEN,15:39:22.0571776
respCLOSED,15:39:24.0079616
r100,15:39:24.0122368
stimOFF,15:39:24.0122880
stimON,15:39:26.5119488
dotsMOVE,15:39:27.5006464
respCLOSED,15:39:28.4241024
respOPEN,15:39:28.5255424
stimOFF,15:39:30.0171776
stimON,15:39:33.0658560
dotsMOVE,15:39:34.0504064
respOPEN,15:39:35.0783744
respCLOSED,15:39:35.0803712
r100,15:39:35.0843008
stimOFF,15:39:36.5330176
stimON,15:39:38.8281984
dotsMOVE,15:39:39.8163840
respOPEN,15:39:40.8395264
respCLOSED,15:39:41.4166400
stimOFF,15:39:42.3164160
stimON,15:39:44.6167296
dotsMOVE,15:39:45.6162304
respOPEN,15:39:46.6311680
respCLOSED,15:39:47.3049088
r100,15:39:47.3099520
stimOFF,15:39:48.1333120
stimON,15:39:50.6242944
dotsMOVE,15:39:51.6157440
respCLOSED,15:39:52.0732032
respOPEN,15:39:52.6255616
r100,15:39:52.6296960
stimOFF,15:39:54.1155584
stimON,15:39:56.6185984
dotsMOVE,15:39:57.6153216
respOPEN,15:39:58.6193152
