FastSpeedChanges,19:25:13.3246848
((1, 45), (0, 200)),19:26:17.7954432
((0, -270), (0, 200)),19:26:18.3103360
((1, -265), (0, 200)),19:26:18.8113536
((1, -265), (200, 200)),19:26:19.0145280
((0, -127.5), (200, 200)),19:26:19.3271424
((1, 432.5), (200, 200)),19:26:19.8278144
((0, -100), (200, 200)),19:26:20.3286400
((1, 160), (200, 200)),19:26:20.8429184
((0, 147.5), (200, 200)),19:26:21.3481856
((1, 105), (200, 200)),19:26:21.8488192
((0, -85), (200, 200)),19:26:22.3491968
((1, 195), (200, 200)),19:26:22.8587392
((0, 330), (200, 200)),19:26:23.3744128
((1, 72.5), (200, 200)),19:26:23.8750848
((0, 192.5), (200, 200)),19:26:24.3757184
((1, 505), (200, 200)),19:26:24.8766208
((0, 327.5), (200, 200)),19:26:25.3776256
((1, 17.5), (200, 200)),19:26:25.8889472
((0, 150), (200, 200)),19:26:26.4021760
((1, 530), (200, 200)),19:26:26.9033088
((0, 252.5), (200, 200)),19:26:27.4046592
((1, -162.5), (200, 200)),19:26:27.9058432
((0, -5), (200, 200)),19:26:28.4201216
((1, 10), (200, 200)),19:26:28.9211008
((0, 97.5), (200, 200)),19:26:29.4218496
((1, -272.5), (200, 200)),19:26:29.9254784
((0, 282.5), (200, 200)),19:26:30.4380928
