StartSession,17:51:17.9483008
respDelay2,17:51:17.9484544
respSize5,17:51:17.9485824
activev2,17:51:19.3445888
stimON,17:51:19.8008576
dotsMOVE,17:51:20.7896704
respOPEN,17:51:21.8133760
stimOFF,17:51:22.9227392
respCLOSED,17:51:25.4406528
stimON,17:51:27.8152704
dotsMOVE,17:51:28.8054016
respOPEN,17:51:29.8298368
stimOFF,17:51:31.3222272
respCLOSED,17:51:31.9692928
stimON,17:51:34.8554368
dotsMOVE,17:51:35.8551424
respOPEN,17:51:36.8565248
respCLOSED,17:51:37.4094592
stimOFF,17:51:38.3718656
stimON,17:51:41.3452160
dotsMOVE,17:51:42.3548032
respOPEN,17:51:43.3528960
stimOFF,17:51:44.8545280
respCLOSED,17:51:45.4578048
stimON,17:51:47.7648384
dotsMOVE,17:51:48.7545088
respOPEN,17:51:49.7777792
stimOFF,17:51:51.2541824
respCLOSED,17:51:52.1139840
stimON,17:51:55.0786560
dotsMOVE,17:51:56.0696576
respOPEN,17:51:57.0796032
stimOFF,17:51:58.5704576
respCLOSED,17:52:02.0954880
