StartSession,11:15:55.7290368
respDelay2,11:15:55.7306624
respSize5,11:15:55.7314304
respOPEN,11:15:56.3782784
stimOFF,11:15:57.8681344
mr100,11:16:00.5415040
ml100,11:16:00.7337344
respCLOSED,11:16:01.3942528
ml100,11:16:02.3179264
ml100,11:16:02.6372864
mr100,11:16:03.0055936
stimON,11:16:03.8961152
dotsMOVE,11:16:04.9010816
respOPEN,11:16:05.8972032
stimOFF,11:16:07.4013056
respCLOSED,11:16:10.9116160
stimON,11:16:13.0571008
dotsMOVE,11:16:14.0521216
respOPEN,11:16:15.0571776
stimOFF,11:16:16.5670784
respCLOSED,11:16:20.0666624
stimON,11:16:22.6660224
dotsMOVE,11:16:23.6510336
respOPEN,11:16:24.6771968
stimOFF,11:16:26.1497600
respCLOSED,11:16:29.6796288
stimON,11:16:32.0475136
dotsMOVE,11:16:33.0499200
respOPEN,11:16:34.0593920
stimOFF,11:16:35.5493120
respCLOSED,11:16:39.0706816
stimON,11:16:42.0230912
dotsMOVE,11:16:43.0156544
respOPEN,11:16:44.0366848
stimOFF,11:16:45.5323520
respCLOSED,11:16:49.0388352
stimON,11:16:51.4718720
dotsMOVE,11:16:52.4821888
respOPEN,11:16:53.4838784
stimOFF,11:16:54.9813248
respCLOSED,11:16:58.5012480
stimON,11:17:00.7556608
dotsMOVE,11:17:01.7640448
respOPEN,11:17:02.7558784
stimOFF,11:17:04.2646016
respCLOSED,11:17:07.7569920
stimON,11:17:10.5294848
dotsMOVE,11:17:11.5157248
respOPEN,11:17:12.5384704
stimOFF,11:17:14.0300032
