SpeedTextures,16:38:57.5297664
{Id=0, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:01.5220992
{Id=1, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.5, VelXLeft=-23.3, VelYLeft=0, CohLeft=100, VelXRight=-23.3, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:04.5375872
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:07.5543936
{Id=1, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-23.3, VelYLeft=0, CohLeft=100, VelXRight=-23.3, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:10.5721856
{Id=2, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-46.4, VelYLeft=0, CohLeft=100, VelXRight=-46.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:13.5879936
{Id=4, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:16.6196608
{Id=2, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.5, VelXLeft=-46.4, VelYLeft=0, CohLeft=100, VelXRight=-46.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:19.6358528
{Id=7, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:22.6525568
{Id=0, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:25.6682112
{Id=1, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-23.3, VelYLeft=0, CohLeft=100, VelXRight=-23.3, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:28.6866560
{Id=0, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:31.7011456
{Id=5, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.5, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:34.7181312
{Id=4, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:37.7223296
{Id=2, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-46.4, VelYLeft=0, CohLeft=100, VelXRight=-46.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:40.7507200
{Id=2, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-46.4, VelYLeft=0, CohLeft=100, VelXRight=-46.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:43.7568256
{Id=1, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-23.3, VelYLeft=0, CohLeft=100, VelXRight=-23.3, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:46.7835776
{Id=0, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:49.7897856
{Id=5, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:52.8063744
{Id=6, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-735.9, VelYLeft=0, CohLeft=100, VelXRight=-735.9, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:55.8337920
{Id=5, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:40:58.8493952
{Id=6, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-735.9, VelYLeft=0, CohLeft=100, VelXRight=-735.9, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:01.8662272
{Id=3, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:04.8829568
{Id=7, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:07.8936320
{Id=7, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:10.9097472
{Id=5, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:13.9266048
{Id=6, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-735.9, VelYLeft=0, CohLeft=100, VelXRight=-735.9, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:16.9442944
{Id=0, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.5, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:19.9646720
{Id=7, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:22.9841536
{Id=0, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:25.9966336
{Id=1, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-23.3, VelYLeft=0, CohLeft=100, VelXRight=-23.3, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:41:29.0106496
