StartSession,16:09:27.3857536
respDelay1.1,16:09:27.3876352
respSize5,16:09:27.3884544
stimON,16:09:27.8253824
respOPEN,16:09:28.9368832
dotsMOVE,16:09:29.6168320
stimOFF,16:09:33.8685824
respCLOSED,16:09:33.9418368
stimON,16:09:36.5046784
respOPEN,16:09:37.6079616
dotsMOVE,16:09:38.2209408
respCLOSED,16:09:42.6148096
stimOFF,16:09:42.6611840
passive,16:09:45.6469504
stimON,16:09:45.6576640
dotsMOVE,16:09:47.3674880
r100,16:09:49.1309440
stimOFF,16:09:54.1002240
stimON,16:09:56.1722752
dotsMOVE,16:09:57.9484672
l100,16:09:59.7715456
stimOFF,16:10:04.9329536
activeany,16:10:07.9054208
stimON,16:10:07.9121792
respOPEN,16:10:09.0312192
dotsMOVE,16:10:09.5993216
stimOFF,16:10:14.0068224
respCLOSED,16:10:14.0332800
stimON,16:10:16.3693824
respOPEN,16:10:17.4798848
dotsMOVE,16:10:18.1236736
stimOFF,16:10:22.2817152
respCLOSED,16:10:22.4810624
stimON,16:10:25.3344000
respOPEN,16:10:26.4441728
stimOFF,16:10:26.7875072
respCLOSED,16:10:31.4392192
pause,16:10:33.7995136
