StartSession,15:41:37.6431232
respDelay2,15:41:37.6432768
respSize5,15:41:37.6433920
activev2,15:41:38.7657728
stimON,15:41:39.2688000
dotsMOVE,15:41:40.2587776
respOPEN,15:41:41.2826880
respCLOSED,15:41:43.8831232
stimOFF,15:41:43.8896640
stimON,15:41:46.7587456
dotsMOVE,15:41:47.7413760
respOPEN,15:41:48.7657984
respCLOSED,15:41:50.2702336
l100,15:41:50.2726784
stimOFF,15:41:50.2727296
stimON,15:41:52.3587072
dotsMOVE,15:41:53.3579008
respCLOSED,15:41:54.3025408
respOPEN,15:41:54.3591424
r100,15:41:54.3627136
stimOFF,15:41:55.8412800
stimON,15:41:58.8000256
dotsMOVE,15:41:59.8073856
respCLOSED,15:42:00.6388864
respOPEN,15:42:00.8131072
l100,15:42:00.8171392
stimOFF,15:42:02.3076352
stimON,15:42:05.2956032
dotsMOVE,15:42:06.2908160
respOPEN,15:42:07.3014656
respCLOSED,15:42:07.6631936
r100,15:42:07.6703488
stimOFF,15:42:08.7900928
stimON,15:42:11.0887680
dotsMOVE,15:42:12.0731008
respCLOSED,15:42:12.6713088
respOPEN,15:42:13.0892672
r100,15:42:13.0976640
stimOFF,15:42:14.6068096
stimON,15:42:16.7001088
dotsMOVE,15:42:17.6889856
respOPEN,15:42:18.7086208
respCLOSED,15:42:21.6898560
stimOFF,15:42:21.6944384
stimON,15:42:24.5555584
dotsMOVE,15:42:25.5558400
respOPEN,15:42:26.5665792
respCLOSED,15:42:29.5500928
stimOFF,15:42:29.5524992
stimON,15:42:32.3866752
dotsMOVE,15:42:33.3726976
respCLOSED,15:42:33.8083584
respOPEN,15:42:34.3876480
stimOFF,15:42:35.8547712
