StartSession,15:35:04.2180864
23007,15:35:04.2245760
23015,15:35:04.2412032
23023,15:35:04.2578560
23030,15:35:04.2745472
23038,15:35:04.2912128
23046,15:35:04.3078656
23054,15:35:04.3245440
23060,15:35:04.3412096
23066,15:35:04.3578624
23071,15:35:04.3745664
23077,15:35:04.3911936
23085,15:35:04.4080128
23094,15:35:04.4246016
23103,15:35:04.4412032
23113,15:35:04.4578688
23123,15:35:04.4745344
23133,15:35:04.4912000
23143,15:35:04.5078528
23154,15:35:04.5246464
23165,15:35:04.5412736
23175,15:35:04.5578880
23185,15:35:04.5745920
23195,15:35:04.5912192
23207,15:35:04.6078848
23219,15:35:04.6246016
23230,15:35:04.6412160
23240,15:35:04.6578816
23250,15:35:04.6746368
23258,15:35:04.6912256
23267,15:35:04.7078912
23280,15:35:04.7316736
23289,15:35:04.7480576
23300,15:35:04.7647232
23311,15:35:04.7814784
23323,15:35:04.7980544
23336,15:35:04.8147328
23348,15:35:04.8314496
23358,15:35:04.8480640
23370,15:35:04.8647296
23381,15:35:04.8814592
23391,15:35:04.8980608
23401,15:35:04.9147392
23411,15:35:04.9314560
23419,15:35:04.9480704
23428,15:35:04.9647232
23436,15:35:04.9814656
23444,15:35:04.9980672
23452,15:35:05.0147456
23459,15:35:05.0314112
23465,15:35:05.0480768
23473,15:35:05.0647424
23482,15:35:05.0814464
23490,15:35:05.0980736
23499,15:35:05.1147648
23509,15:35:05.1315200
23518,15:35:05.1481984
23528,15:35:05.1647616
23537,15:35:05.1814784
23546,15:35:05.1980928
23555,15:35:05.2161152
23563,15:35:05.2329472
23572,15:35:05.2494720
23581,15:35:05.2661120
23590,15:35:05.2828160
23599,15:35:05.3005568
23606,15:35:05.3161088
23615,15:35:05.3327744
23625,15:35:05.3494912
23637,15:35:05.3662848
23648,15:35:05.3827840
23661,15:35:05.3994368
23671,15:35:05.4161152
23682,15:35:05.4327808
23694,15:35:05.4494976
23705,15:35:05.4661504
23716,15:35:05.4828032
23727,15:35:05.4994944
23741,15:35:05.5170688
23753,15:35:05.5327744
23768,15:35:05.5494912
23780,15:35:05.5661824
23794,15:35:05.5827968
23806,15:35:05.5995264
23818,15:35:05.6161152
23831,15:35:05.6328192
23843,15:35:05.6495104
23856,15:35:05.6661248
23870,15:35:05.6828416
23884,15:35:05.6995584
23897,15:35:05.7161344
23911,15:35:05.7340416
23922,15:35:05.7495552
23934,15:35:05.7662336
23946,15:35:05.7834112
23956,15:35:05.7998336
23967,15:35:05.8164992
23979,15:35:05.8332416
23993,15:35:05.8498304
24007,15:35:05.8665088
24019,15:35:05.8831488
24031,15:35:05.8998400
24042,15:35:05.9165056
24053,15:35:05.9331712
24063,15:35:05.9498752
24074,15:35:05.9665792
24084,15:35:05.9831552
24095,15:35:05.9999104
24107,15:35:06.0165888
24117,15:35:06.0331904
24127,15:35:06.0499968
24136,15:35:06.0665216
24145,15:35:06.0831616
24155,15:35:06.0998912
