StartSession,15:46:04.0009856
respDelay2,15:46:04.0012288
respSize5,15:46:04.0014208
activev2,15:46:06.4879104
stimON,15:46:06.9761024
dotsMOVE,15:46:07.9776128
respOPEN,15:46:08.9781376
respCLOSED,15:46:09.9279104
stimOFF,15:46:10.1106176
stimON,15:46:12.9887616
dotsMOVE,15:46:13.9931008
respCLOSED,15:46:14.9200512
respOPEN,15:46:14.9917184
r100,15:46:14.9988736
stimOFF,15:46:16.5093248
stimON,15:46:19.1391104
dotsMOVE,15:46:20.1259904
respOPEN,15:46:21.1400192
respCLOSED,15:46:24.1329664
stimOFF,15:46:24.1384064
stimON,15:46:27.0573824
respCLOSED,15:46:27.7366912
dotsMOVE,15:46:28.0419456
respOPEN,15:46:29.0708864
l100,15:46:29.0751872
stimOFF,15:46:30.5744000
stimON,15:46:32.7207680
dotsMOVE,15:46:33.7088640
respOPEN,15:46:34.7325056
respCLOSED,15:46:37.7042944
stimOFF,15:46:37.7106688
stimON,15:46:40.3929728
dotsMOVE,15:46:41.3910400
respOPEN,15:46:42.3994880
respCLOSED,15:46:43.0175488
l100,15:46:43.0266240
stimOFF,15:46:43.8908928
stimON,15:46:46.6748416
dotsMOVE,15:46:47.6738304
respCLOSED,15:46:48.0734720
respOPEN,15:46:48.6860672
l100,15:46:48.6926080
stimOFF,15:46:50.1573760
