StartSession,15:20:57.2665984
(244, 128),15:26:40.2401536
(245, 128),15:26:40.4123008
(246, 128),15:26:40.5852032
(247, 128),15:26:40.7571456
(248, 128),15:26:41.0302592
(249, 128),15:26:41.8242560
(250, 128),15:26:41.8713216
(251, 128),15:26:42.1332480
(252, 128),15:26:43.5793152
(253, 128),15:26:43.7744000
(253, 129),15:26:44.9453696
(253, 130),15:26:45.0834816
(253, 131),15:26:45.2934784
(253, 132),15:26:45.4624256
(253, 133),15:26:45.6174336
(253, 134),15:26:45.8013952
(253, 135),15:26:46.0003968
(253, 136),15:26:46.1393792
(253, 137),15:26:46.3554048
(253, 138),15:26:46.5254528
(253, 139),15:26:46.7495168
(254, 139),15:26:51.5565952
(255, 139),15:26:51.7096448
(256, 139),15:26:51.8945792
(257, 139),15:26:52.0607232
(258, 139),15:26:52.2116736
(259, 139),15:26:52.3766912
(260, 139),15:26:59.1779200
(261, 139),15:26:59.3640064
(262, 139),15:26:59.5419008
(263, 139),15:26:59.7409408
(264, 139),15:26:59.8919680
(265, 139),15:27:00.0549632
(266, 139),15:27:04.5592192
(267, 139),15:27:04.7091072
(268, 139),15:27:04.8821376
(269, 139),15:27:05.0751744
(270, 139),15:27:05.2311680
(271, 139),15:27:05.3883648
(272, 139),15:27:08.8472576
(273, 139),15:27:09.0394240
(274, 139),15:27:09.2433408
(275, 139),15:27:09.3883520
(276, 139),15:27:09.5704064
(277, 139),15:27:09.7194752
(278, 139),15:27:09.8854784
(279, 139),15:27:15.8146048
(280, 139),15:27:15.9805952
(281, 139),15:27:16.2166784
(282, 139),15:27:16.4695808
(283, 139),15:27:19.0646912
(284, 139),15:27:19.5897216
(285, 139),15:27:19.7738368
(286, 139),15:27:20.2056960
(287, 139),15:27:20.4287616
(288, 139),15:27:20.5868032
(289, 139),15:27:57.6162560
(290, 139),15:27:57.8132480
(291, 139),15:27:58.0112512
(292, 139),15:27:58.2053504
(293, 139),15:27:58.3753600
(294, 139),15:27:58.5223552
(295, 139),15:27:58.6694272
(296, 139),15:27:58.8214144
(296, 140),15:28:20.2472576
(296, 141),15:28:20.4712576
(296, 142),15:28:20.7162368
(296, 143),15:28:20.8852352
(296, 144),15:28:21.0442496
(296, 145),15:28:21.0832640
(296, 146),15:28:21.2212608
(296, 147),15:28:21.4421632
(296, 148),15:28:21.5813248
(296, 149),15:28:21.7652352
(297, 149),15:28:25.7181056
(298, 149),15:28:25.9144576
(299, 149),15:28:26.1223936
(300, 149),15:28:26.3023872
(301, 149),15:28:26.4703744
(301, 150),15:28:31.3135616
(301, 151),15:28:31.4947072
(301, 152),15:28:31.6436096
(301, 153),15:28:31.8376704
(301, 154),15:28:32.0085760
(301, 155),15:28:32.1716352
(301, 156),15:28:32.3546112
(301, 157),15:28:32.5046656
(301, 158),15:28:32.6787584
(301, 159),15:28:32.8457472
(301, 160),15:28:33.3396736
(301, 161),15:28:33.5326720
(301, 162),15:28:36.5018624
(301, 163),15:28:36.7088768
(301, 164),15:28:36.8938240
(301, 165),15:28:37.0919680
(301, 166),15:28:37.2539008
(301, 167),15:28:37.4518784
(301, 168),15:28:37.6148608
(302, 168),15:28:43.7400576
(303, 168),15:28:43.8751744
(304, 168),15:28:44.0502656
(305, 168),15:28:44.2230912
(306, 168),15:28:44.4011264
(307, 168),15:28:44.5582464
(308, 168),15:28:44.7181312
(309, 168),15:28:44.9722752
(310, 168),15:28:45.1451776
(311, 168),15:28:53.8676224
(312, 168),15:28:54.0846592
(313, 168),15:28:54.2985728
(314, 168),15:28:55.0005376
(315, 168),15:28:55.9107072
(316, 168),15:28:56.2065664
(317, 168),15:28:56.3759488
(318, 168),15:28:56.5505792
(319, 168),15:28:56.7045760
(320, 168),15:28:56.8576000
(321, 168),15:29:01.3727872
(322, 168),15:29:01.5488128
(323, 168),15:29:01.7528448
(324, 168),15:29:02.1087872
