StartSession,10:53:09.5049472
respDelay1.5,10:53:09.5073536
respSize4,10:53:09.5082112
activev2,10:53:13.4383872
stimON,10:53:17.5711232
dotsMOVE,10:53:18.6007808
respOPEN,10:53:19.1863424
stimOFF,10:53:20.0013568
respCLOSED,10:53:23.1984000
stimON,10:53:25.7421056
activeany,10:53:25.7426304
stimON,10:53:26.1940736
dotsMOVE,10:53:26.7170432
respOPEN,10:53:27.3747200
stimOFF,10:53:29.2341376
respCLOSED,10:53:31.3873536
stimON,10:53:34.2672768
dotsMOVE,10:53:35.2507520
respOPEN,10:53:35.7645696
stimOFF,10:53:37.7675648
respCLOSED,10:53:39.7757568
stimON,10:53:42.3005312
dotsMOVE,10:53:43.2850560
respOPEN,10:53:43.8030848
stimOFF,10:53:45.8019456
respCLOSED,10:53:47.8034432
stimON,10:53:50.4834944
dotsMOVE,10:53:51.4688000
respOPEN,10:53:51.9801856
stimOFF,10:53:53.9856128
respCLOSED,10:53:55.9930752
stimON,10:53:58.2185344
dotsMOVE,10:53:59.2017920
respOPEN,10:53:59.7140736
stimOFF,10:54:01.7185792
respCLOSED,10:54:03.7260928
stimON,10:54:06.3382400
dotsMOVE,10:54:07.3188224
respOPEN,10:54:07.8225664
stimOFF,10:54:09.8356096
respCLOSED,10:54:11.8361984
