FastSpeedChanges,17:30:13.8216064
(0, 230),17:31:59.3505408
(1, 315),17:31:59.8511616
(0, 275),17:32:00.3519616
(1, 380),17:32:00.8523904
(0, 255),17:32:01.3530880
(1, 285),17:32:01.8535552
(0, 205),17:32:02.3543552
(1, 305),17:32:02.8549248
(0, 305),17:32:03.3552384
(1, 325),17:32:03.8555776
(0, 250),17:32:04.3567744
(1, 290),17:32:04.8574336
(0, 320),17:32:05.3578752
(1, 375),17:32:05.8586752
(0, 240),17:32:06.3591040
(1, 290),17:32:06.8598656
(0, 240),17:32:07.3604736
(1, 355),17:32:07.8716160
(0, 390),17:32:08.3719680
(1, 265),17:32:08.8725888
(0, 300),17:32:09.3731072
(1, 205),17:32:09.8736000
(0, 315),17:32:10.3742336
(1, 275),17:32:10.8750336
(0, 310),17:32:11.3758208
(1, 240),17:32:11.8762368
(0, 290),17:32:12.3770496
(1, 320),17:32:12.8779008
(0, 365),17:32:13.3785216
(1, 290),17:32:13.8789120
(0, 360),17:32:14.3808128
(1, 355),17:32:14.8812544
(0, 315),17:32:15.3818240
(1, 260),17:32:15.8822400
(0, 170),17:32:16.3830528
(1, 325),17:32:16.8837376
(0, 255),17:32:17.3850368
(1, 260),17:32:17.8958848
(0, 305),17:32:18.3964544
(1, 335),17:32:18.8967936
(0, 260),17:32:19.3974656
(1, 280),17:32:19.8981760
(0, 305),17:32:20.3988992
(1, 385),17:32:20.8998016
(0, 300),17:32:21.4003456
(1, 285),17:32:21.9008128
(0, 245),17:32:22.4013440
(1, 365),17:32:22.9020160
(0, 305),17:32:23.4030080
(1, 265),17:32:23.9036928
(0, 225),17:32:24.4046080
(1, 280),17:32:24.9052416
(0, 310),17:32:25.4059264
(1, 350),17:32:25.9067136
(0, 270),17:32:26.4081792
(1, 295),17:32:26.9090048
(0, 300),17:32:27.4096768
(1, 395),17:32:27.9106560
(0, 375),17:32:28.4110720
(1, 330),17:32:28.9119360
(0, 295),17:32:29.4125568
(1, 265),17:32:29.9136896
(0, 400),17:32:30.4142080
(1, 315),17:32:30.9146752
(0, 270),17:32:31.4153728
(1, 220),17:32:31.9159168
(0, 285),17:32:32.4163200
(1, 305),17:32:32.9170816
(0, 335),17:32:33.4174592
(1, 260),17:32:33.9180288
(0, 285),17:32:34.4191872
(1, 305),17:32:34.9198848
(0, 385),17:32:35.4206976
(1, 345),17:32:35.9212800
(0, 250),17:32:36.4217856
(1, 235),17:32:36.9221504
(0, 355),17:32:37.4230016
(1, 320),17:32:37.9329536
(0, 190),17:32:38.4336512
(1, 315),17:32:38.9344768
(0, 310),17:32:39.4351744
(1, 375),17:32:39.9355776
(0, 250),17:32:40.4361216
(1, 295),17:32:40.9364864
(0, 340),17:32:41.4368640
(1, 355),17:32:41.9372416
(0, 290),17:32:42.4378240
(1, 280),17:32:42.9384960
(0, 280),17:32:43.4391680
(1, 350),17:32:43.9395840
(0, 195),17:32:44.4408320
(1, 265),17:32:44.9416960
(0, 215),17:32:45.4421760
(1, 180),17:32:45.9426048
(0, 325),17:32:46.4430848
(1, 270),17:32:46.9438080
(0, 290),17:32:47.4443136
(1, 235),17:32:47.9596672
(0, 335),17:32:48.4603520
(1, 280),17:32:48.9607296
(0, 275),17:32:49.4610432
(1, 295),17:32:49.9616768
(0, 385),17:32:50.4622336
(1, 335),17:32:50.9630592
(0, 350),17:32:51.4634880
(1, 250),17:32:51.9638784
(0, 330),17:32:52.4647680
(1, 320),17:32:52.9651840
(0, 370),17:32:53.4654976
(1, 240),17:32:53.9660160
(0, 260),17:32:54.4765184
(1, 325),17:32:54.9771520
(0, 250),17:32:55.4779904
(1, 290),17:32:55.9788416
(0, 315),17:32:56.4792064
(1, 375),17:32:56.9797120
(0, 310),17:32:57.4906496
(1, 280),17:32:57.9910144
(0, 220),17:32:58.4915968
(1, 290),17:32:58.9923200
(0, 395),17:32:59.4927360
(1, 350),17:32:59.9934720
(0, 255),17:33:00.4941952
(1, 215),17:33:00.9949056
(0, 315),17:33:01.4955264
(1, 360),17:33:01.9962240
(0, 275),17:33:02.4966656
(1, 240),17:33:02.9972352
(0, 285),17:33:03.4978560
(1, 315),17:33:03.9986944
(0, 365),17:33:04.4996352
(1, 330),17:33:05.0001792
(0, 200),17:33:05.5006592
(1, 275),17:33:06.0012288
(0, 380),17:33:06.5020544
(1, 355),17:33:07.0029312
(0, 225),17:33:07.5138560
(1, 330),17:33:08.0145408
(0, 285),17:33:08.5150336
(1, 265),17:33:09.0155392
(0, 235),17:33:09.5162496
(1, 300),17:33:10.0165632
(0, 340),17:33:10.5172096
(1, 335),17:33:11.0178944
(0, 285),17:33:11.5184384
(1, 285),17:33:12.0190080
(0, 375),17:33:12.5193984
(1, 350),17:33:13.0200064
(0, 185),17:33:13.5204480
(1, 255),17:33:14.0207488
(0, 205),17:33:14.5220736
(1, 240),17:33:15.0224512
(0, 230),17:33:15.5228544
(1, 275),17:33:16.0241408
(0, 305),17:33:16.5245440
(1, 345),17:33:17.0252544
(0, 270),17:33:17.5373056
(1, 250),17:33:18.0380544
(0, 270),17:33:18.5385472
(1, 305),17:33:19.0393472
(0, 370),17:33:19.5463040
(1, 315),17:33:20.0468352
(0, 315),17:33:20.5476352
(1, 265),17:33:21.0481152
(0, 415),17:33:21.5487488
(1, 320),17:33:22.0493952
(0, 330),17:33:22.5505536
(1, 225),17:33:23.0511488
(0, 275),17:33:23.5519744
(1, 285),17:33:24.0524800
(0, 335),17:33:24.5530752
(1, 260),17:33:25.0534912
(0, 325),17:33:25.5540864
(1, 355),17:33:26.0545280
(0, 285),17:33:26.5551616
(1, 300),17:33:27.0557440
(0, 305),17:33:27.5559936
(1, 370),17:33:28.0563968
(0, 275),17:33:28.5568384
(1, 275),17:33:29.0580352
(0, 185),17:33:29.5774720
(1, 230),17:33:30.0783616
(0, 350),17:33:30.5788544
(1, 245),17:33:31.0800128
(0, 310),17:33:31.5804672
(1, 220),17:33:32.0811520
(0, 295),17:33:32.5822080
(1, 320),17:33:33.0832000
(0, 345),17:33:33.5840384
(1, 270),17:33:34.0847104
(0, 300),17:33:34.5856768
(1, 345),17:33:35.0862080
(0, 320),17:33:35.5888128
(1, 270),17:33:36.0901760
(0, 420),17:33:36.5909376
(1, 340),17:33:37.0920064
(0, 335),17:33:37.6028800
(1, 320),17:33:38.1036032
(0, 365),17:33:38.6048512
(1, 240),17:33:39.1052672
(0, 235),17:33:39.6066560
(1, 275),17:33:40.1078912
(0, 310),17:33:40.6083840
(1, 365),17:33:41.1088128
(0, 310),17:33:41.6093056
(1, 235),17:33:42.1096832
(0, 280),17:33:42.6108800
(1, 400),17:33:43.1112448
(0, 330),17:33:43.6119680
(1, 220),17:33:44.1126016
(0, 215),17:33:44.6142976
(1, 300),17:33:45.1146880
(0, 355),17:33:45.6156160
(1, 320),17:33:46.1167616
(0, 245),17:33:46.6179456
(1, 230),17:33:47.1182848
(0, 275),17:33:47.6338688
(1, 310),17:33:48.1350528
(0, 245),17:33:48.6356096
(1, 295),17:33:49.1361536
(0, 330),17:33:49.6364672
(1, 365),17:33:50.1377280
(0, 200),17:33:50.6383616
(1, 285),17:33:51.1389184
(0, 260),17:33:51.6397696
(1, 355),17:33:52.1405184
(0, 215),17:33:52.6412928
(1, 275),17:33:53.1430784
(0, 210),17:33:53.6435968
(1, 305),17:33:54.1440000
(0, 320),17:33:54.6464000
(1, 330),17:33:55.1469184
(0, 260),17:33:55.6479104
(1, 300),17:33:56.1485568
(0, 325),17:33:56.6489984
(1, 325),17:33:57.1495040
(0, 275),17:33:57.6498176
(1, 430),17:33:58.1506560
(0, 335),17:33:58.6519552
(1, 285),17:33:59.1527552
(0, 240),17:33:59.6540928
(1, 260),17:34:00.1555456
(0, 310),17:34:00.6566656
(1, 325),17:34:01.1572736
(0, 260),17:34:01.6582784
(1, 270),17:34:02.1591040
(0, 300),17:34:02.6594816
(1, 375),17:34:03.1609344
(0, 325),17:34:03.6625024
(1, 355),17:34:04.1636096
(0, 260),17:34:04.6776576
(1, 285),17:34:05.1779968
(0, 405),17:34:05.6791168
(1, 335),17:34:06.1797888
(0, 335),17:34:06.6807680
(1, 370),17:34:07.1816192
(0, 395),17:34:07.6957312
(1, 315),17:34:08.1963008
(0, 280),17:34:08.6975488
(1, 225),17:34:09.1986688
(0, 305),17:34:09.6992640
(1, 285),17:34:10.2000896
(0, 300),17:34:10.7010816
(1, 240),17:34:11.2020736
(0, 280),17:34:11.7034880
(1, 310),17:34:12.2048512
(0, 370),17:34:12.7054080
(1, 315),17:34:13.2065408
(0, 295),17:34:13.7072896
(1, 270),17:34:14.2078464
(0, 390),17:34:14.7094400
(1, 300),17:34:15.2103296
(0, 280),17:34:15.7114496
(1, 215),17:34:16.2122496
(0, 315),17:34:16.7128832
(1, 275),17:34:17.2138752
(0, 230),17:34:17.7283072
(1, 330),17:34:18.2289024
(0, 265),17:34:18.7298048
(1, 270),17:34:19.2307584
(0, 300),17:34:19.7321856
(1, 380),17:34:20.2328576
(0, 330),17:34:20.7338368
(1, 245),17:34:21.2349440
(0, 255),17:34:21.7359232
(1, 390),17:34:22.2368512
(0, 325),17:34:22.7380224
(1, 240),17:34:23.2390144
(0, 235),17:34:23.7402496
(1, 265),17:34:24.2407040
(0, 360),17:34:24.7417600
(1, 345),17:34:25.2427904
(0, 275),17:34:25.7437952
(1, 260),17:34:26.2447104
(0, 260),17:34:26.7450752
(1, 300),17:34:27.2464384
(0, 365),17:34:27.7604608
(1, 295),17:34:28.2614656
(0, 300),17:34:28.7628032
(1, 390),17:34:29.2642688
(0, 220),17:34:29.7655296
(1, 335),17:34:30.2659968
(0, 215),17:34:30.7671552
(1, 330),17:34:31.2682240
(0, 240),17:34:31.7691520
(1, 315),17:34:32.2695296
(0, 230),17:34:32.7706880
(1, 285),17:34:33.2715904
(0, 320),17:34:33.7723392
(1, 360),17:34:34.2729472
(0, 295),17:34:34.7734656
(1, 390),17:34:35.2743168
(0, 290),17:34:35.7749888
(1, 380),17:34:36.2753920
(0, 270),17:34:36.7758848
(1, 165),17:34:37.2767872
(0, 335),17:34:37.7912064
(1, 360),17:34:38.2925696
(0, 360),17:34:38.7930240
(1, 265),17:34:39.2941440
(0, 190),17:34:39.7955456
(1, 315),17:34:40.2969344
(0, 310),17:34:40.7982208
(1, 290),17:34:41.2995328
(0, 250),17:34:41.8007552
(1, 300),17:34:42.3017472
(0, 345),17:34:42.8026240
(1, 355),17:34:43.3040896
(0, 355),17:34:43.8048768
(1, 275),17:34:44.3064320
(0, 315),17:34:44.8067712
(1, 290),17:34:45.3078144
(0, 240),17:34:45.8083712
(1, 300),17:34:46.3095936
(0, 315),17:34:46.8106368
(1, 270),17:34:47.3116800
(0, 245),17:34:47.8265856
(1, 240),17:34:48.3274368
(0, 250),17:34:48.8282112
(1, 305),17:34:49.3286784
(0, 335),17:34:49.8294144
(1, 270),17:34:50.3307904
(0, 275),17:34:50.8312960
(1, 295),17:34:51.3320960
(0, 385),17:34:51.8329856
(1, 330),17:34:52.3337472
(0, 285),17:34:52.8349184
(1, 250),17:34:53.3360128
(0, 345),17:34:53.8372224
(1, 320),17:34:54.3519744
(0, 205),17:34:54.8530432
(1, 310),17:34:55.3542912
(0, 265),17:34:55.8558208
(1, 230),17:34:56.3565440
(0, 300),17:34:56.8578688
(1, 335),17:34:57.3583488
(0, 335),17:34:57.8712192
(1, 310),17:34:58.3727360
(0, 250),17:34:58.8739840
(1, 300),17:34:59.3749888
(0, 340),17:34:59.8755456
(1, 360),17:35:00.3759744
(0, 270),17:35:00.8770816
(1, 275),17:35:01.3783552
(0, 265),17:35:01.8788608
(1, 345),17:35:02.3796608
(0, 290),17:35:02.8801920
(1, 265),17:35:03.3811584
(0, 215),17:35:03.8816384
(1, 305),17:35:04.3829248
(0, 330),17:35:04.8841728
(1, 325),17:35:05.3849216
(0, 265),17:35:05.8863872
(1, 365),17:35:06.3875840
(0, 310),17:35:06.8886656
(1, 345),17:35:07.3896064
(0, 275),17:35:07.9028224
(1, 310),17:35:08.4037632
(0, 295),17:35:08.9046272
(1, 215),17:35:09.4058112
(0, 340),17:35:09.9068928
(1, 210),17:35:10.4074624
(0, 255),17:35:10.9084160
(1, 225),17:35:11.4096128
(0, 295),17:35:11.9099904
(1, 320),17:35:12.4113664
(0, 350),17:35:12.9126912
(1, 280),17:35:13.4139904
(0, 295),17:35:13.9155456
(1, 310),17:35:14.4174080
(0, 315),17:35:14.9182720
(1, 375),17:35:15.4188288
(0, 325),17:35:15.9202304
(1, 285),17:35:16.4212224
(0, 240),17:35:16.9224192
(1, 360),17:35:17.4229760
(0, 300),17:35:17.9370752
(1, 190),17:35:18.4379776
(0, 320),17:35:18.9391360
(1, 225),17:35:19.4397952
(0, 270),17:35:19.9410560
(1, 250),17:35:20.4417920
